Time,Height,Flow
0,0.382,15.2
0.010416667,0.381,15.1
0.020833333,0.381,15.1
0.03125,0.382,15.2
0.041666667,0.382,15.2
0.052083333,0.382,15.2
0.0625,0.382,15.2
0.072916667,0.381,15.1
0.083333333,0.382,15.2
0.09375,0.383,15.2
0.104166667,0.384,15.3
0.114583333,0.386,15.5
0.125,0.385,15.4
0.135416667,0.386,15.5
0.145833333,0.387,15.6
0.15625,0.387,15.6
0.166666667,0.387,15.6
0.177083333,0.387,15.6
0.1875,0.386,15.5
0.197916667,0.385,15.4
0.208333333,0.385,15.4
0.21875,0.385,15.4
0.229166667,0.384,15.3
0.239583333,0.384,15.3
0.25,0.384,15.3
0.260416667,0.384,15.3
0.270833333,0.385,15.4
0.28125,0.386,15.5
0.291666667,0.387,15.6
0.302083333,0.387,15.6
0.3125,0.39,15.8
0.322916667,0.391,15.9
0.333333333,0.396,16.3
0.34375,0.403,16.9
0.354166667,0.407,17.3
0.364583333,0.408,17.4
0.375,0.411,17.6
0.385416667,0.412,17.7
0.395833333,0.415,18
0.40625,0.416,18.1
0.416666667,0.418,18.2
0.427083333,0.419,18.3
0.4375,0.418,18.2
0.447916667,0.42,18.4
0.458333333,0.423,18.7
0.46875,0.425,18.9
0.479166667,0.425,18.9
0.489583333,0.428,19.1
0.5,0.428,19.1
0.510416667,0.428,19.1
0.520833333,0.428,19.1
0.53125,0.428,19.1
0.541666667,0.429,19.2
0.552083333,0.426,19
0.5625,0.427,19
0.572916667,0.428,19.1
0.583333333,0.428,19.1
0.59375,0.428,19.1
0.604166667,0.429,19.2
0.614583333,0.431,19.4
0.625,0.432,19.5
0.635416667,0.432,19.5
0.645833333,0.431,19.4
0.65625,0.43,19.3
0.666666667,0.429,19.2
0.677083333,0.429,19.2
0.6875,0.429,19.2
0.697916667,0.429,19.2
0.708333333,0.429,19.2
0.71875,0.428,19.1
0.729166667,0.428,19.1
0.739583333,0.428,19.1
0.75,0.429,19.2
0.760416667,0.429,19.2
0.770833333,0.429,19.2
0.78125,0.427,19
0.791666667,0.428,19.1
0.802083333,0.427,19
0.8125,0.427,19
0.822916667,0.427,19
0.833333333,0.427,19
0.84375,0.427,19
0.854166667,0.43,19.3
0.864583333,0.432,19.5
0.875,0.431,19.4
0.885416667,0.43,19.3
0.895833333,0.428,19.1
0.90625,0.43,19.3
0.916666667,0.435,19.8
0.927083333,0.442,20.4
0.9375,0.449,21.1
0.947916667,0.454,21.5
0.958333333,0.46,22.1
0.96875,0.467,22.8
0.979166667,0.474,23.4
0.989583333,0.481,24.1
1,0.485,24.5
1.010416667,0.485,24.5
1.020833333,0.487,24.7
1.03125,0.489,24.9
1.041666667,0.49,25
1.052083333,0.492,25.2
1.0625,0.493,25.3
1.072916667,0.492,25.2
1.083333333,0.491,25.1
1.09375,0.49,25
1.104166667,0.489,24.9
1.114583333,0.489,24.9
1.125,0.486,24.6
1.135416667,0.487,24.7
1.145833333,0.487,24.7
1.15625,0.488,24.8
1.166666667,0.49,25
1.177083333,0.492,25.2
1.1875,0.492,25.2
1.197916667,0.494,25.4
1.208333333,0.495,25.5
1.21875,0.496,25.6
1.229166667,0.499,25.9
1.239583333,0.498,25.8
1.25,0.501,26.1
1.260416667,0.503,26.3
1.270833333,0.505,26.5
1.28125,0.506,26.6
1.291666667,0.506,26.6
1.302083333,0.507,26.7
1.3125,0.509,26.9
1.322916667,0.507,26.7
1.333333333,0.508,26.8
1.34375,0.509,26.9
1.354166667,0.509,26.9
1.364583333,0.509,26.9
1.375,0.506,26.6
1.385416667,0.507,26.7
1.395833333,0.508,26.8
1.40625,0.508,26.8
1.416666667,0.506,26.6
1.427083333,0.505,26.5
1.4375,0.504,26.4
1.447916667,0.505,26.5
1.458333333,0.505,26.5
1.46875,0.507,26.7
1.479166667,0.509,26.9
1.489583333,0.513,27.3
1.5,0.517,27.8
1.510416667,0.521,28.2
1.520833333,0.526,28.7
1.53125,0.534,29.5
1.541666667,0.541,30.3
1.552083333,0.549,31.1
1.5625,0.557,32
1.572916667,0.562,32.6
1.583333333,0.57,33.4
1.59375,0.581,34.7
1.604166667,0.592,35.9
1.614583333,0.605,37.4
1.625,0.614,38.5
1.635416667,0.621,39.3
1.645833333,0.627,40
1.65625,0.635,41
