Time,Height
8,0.788
8.01041667,0.792
8.02083333,0.796
8.03125,0.795
8.04166667,0.793
8.05208333,0.79
8.0625,0.793
8.07291667,0.791
8.08333333,0.791
8.09375,0.791
8.10416667,0.791
8.11458333,0.791
8.125,0.791
8.13541667,0.793
8.14583333,0.791
8.15625,0.791
8.16666667,0.791
8.17708333,0.793
8.1875,0.794
8.19791667,0.793
8.20833333,0.795
8.21875,0.797
8.22916667,0.796
8.23958333,0.795
8.25,0.796
8.26041667,0.797
8.27083333,0.796
8.28125,0.797
8.29166667,0.794
8.30208333,0.795
8.3125,0.792
8.32291667,0.792
8.33333333,0.79
8.34375,0.79
8.35416667,0.789
8.36458333,0.788
8.375,0.792
8.38541667,0.796
8.39583333,0.794
8.40625,0.793
8.41666667,0.791
8.42708333,0.79
8.4375,0.79
8.44791667,0.792
8.45833333,0.793
8.46875,0.793
8.47916667,0.792
8.48958333,0.791
8.5,0.786
8.51041667,0.79
8.52083333,0.785
8.53125,0.784
8.54166667,0.784
8.55208333,0.783
8.5625,0.784
8.57291667,0.785
8.58333333,0.783
8.59375,0.783
8.60416667,0.781
8.61458333,0.785
8.625,0.788
8.63541667,0.786
8.64583333,0.783
8.65625,0.78
8.66666667,0.78
8.67708333,0.784
8.6875,0.78
8.69791667,0.781
8.70833333,0.778
8.71875,0.776
8.72916667,0.777
8.73958333,0.778
8.75,0.779
8.76041667,0.776
8.77083333,0.774
8.78125,0.774
8.79166667,0.775
8.80208333,0.772
8.8125,0.773
8.82291667,0.773
8.83333333,0.774
8.84375,0.773
8.85416667,0.777
8.86458333,0.783
8.875,0.784
8.88541667,0.783
8.89583333,0.779
8.90625,0.784
8.91666667,0.789
8.92708333,0.799
8.9375,0.818
8.94791667,0.825
8.95833333,0.825
8.96875,0.828
8.97916667,0.827
8.98958333,0.849
9,0.872
9.01041667,0.892
9.02083333,0.905
9.03125,0.928
9.04166667,0.966
9.05208333,1.021
9.0625,1.095
9.07291667,1.187
9.08333333,1.308
9.09375,1.455
9.10416667,1.588
9.11458333,1.776
9.125,1.907
9.13541667,2.043
9.14583333,2.159
9.15625,2.276
9.16666667,2.376
9.17708333,2.493
9.1875,2.58
9.19791667,2.654
9.20833333,2.716
9.21875,2.763
9.22916667,2.795
9.23958333,2.814
9.25,2.867
9.26041667,2.954
9.27083333,3.055
9.28125,3.119
9.29166667,3.204
9.30208333,3.247
9.3125,3.278
9.32291667,3.346
9.33333333,3.405
9.34375,3.521
9.35416667,3.736
9.36458333,3.87
9.375,3.982
9.38541667,4.05
9.39583333,4.149
9.40625,4.214
9.41666667,4.268
9.42708333,4.362
9.4375,4.446
9.44791667,4.498
9.45833333,4.526
9.46875,4.607
9.47916667,4.723
9.48958333,4.807
9.5,4.871
9.51041667,4.946
9.52083333,4.982
9.53125,5.026
9.54166667,5.031
9.55208333,4.998
9.5625,4.987
9.57291667,4.929
9.58333333,4.832
9.59375,4.72
9.60416667,4.53
9.61458333,4.337
9.625,4.121
9.63541667,3.946
9.64583333,3.765
9.65625,3.59
9.66666667,3.458
9.67708333,3.334
