Time,Height,Flow
0,0.25,5.85
0.010416667,0.25,5.85
0.020833333,0.25,5.85
0.03125,0.249,5.79
0.041666667,0.249,5.79
0.052083333,0.249,5.79
0.0625,0.248,5.74
0.072916667,0.248,5.74
0.083333333,0.248,5.74
0.09375,0.247,5.68
0.104166667,0.247,5.68
0.114583333,0.245,5.57
0.125,0.244,5.51
0.135416667,0.24,5.29
0.145833333,0.237,5.12
0.15625,0.235,5.01
0.166666667,0.233,4.9
0.177083333,0.233,4.9
0.1875,0.233,4.9
0.197916667,0.231,4.8
0.208333333,0.232,4.85
0.21875,0.232,4.85
0.229166667,0.231,4.8
0.239583333,0.231,4.8
0.25,0.231,4.8
0.260416667,0.231,4.8
0.270833333,0.231,4.8
0.28125,0.23,4.74
0.291666667,0.231,4.8
0.302083333,0.232,4.85
0.3125,0.241,5.34
0.322916667,0.242,5.4
0.333333333,0.245,5.57
0.34375,0.246,5.62
0.354166667,0.248,5.74
0.364583333,0.247,5.68
0.375,0.247,5.68
0.385416667,0.247,5.68
0.395833333,0.248,5.74
0.40625,0.247,5.68
0.416666667,0.247,5.68
0.427083333,0.25,5.85
0.4375,0.251,5.91
0.447916667,0.252,5.97
0.458333333,0.253,6.02
0.46875,0.253,6.02
0.479166667,0.253,6.02
0.489583333,0.254,6.08
0.5,0.256,6.2
0.510416667,0.256,6.2
0.520833333,0.256,6.2
0.53125,0.256,6.2
0.541666667,0.256,6.2
0.552083333,0.257,6.26
0.5625,0.256,6.2
0.572916667,0.257,6.26
0.583333333,0.257,6.26
0.59375,0.257,6.26
0.604166667,0.257,6.26
0.614583333,0.258,6.32
0.625,0.259,6.38
0.635416667,0.259,6.38
0.645833333,0.258,6.32
0.65625,0.259,6.38
0.666666667,0.259,6.38
0.677083333,0.259,6.38
0.6875,0.259,6.38
0.697916667,0.277,7.48
0.708333333,0.254,6.08
0.71875,0.253,6.02
0.729166667,0.253,6.02
0.739583333,0.253,6.02
0.75,0.256,6.2
0.760416667,0.258,6.32
0.770833333,0.259,6.38
0.78125,0.26,6.44
0.791666667,0.262,6.56
0.802083333,0.262,6.56
0.8125,0.261,6.5
0.822916667,0.261,6.5
0.833333333,0.262,6.56
0.84375,0.263,6.62
0.854166667,0.264,6.68
0.864583333,0.265,6.74
0.875,0.267,6.86
0.885416667,0.267,6.86
0.895833333,0.267,6.86
0.90625,0.268,6.92
0.916666667,0.268,6.92
0.927083333,0.268,6.92
0.9375,0.267,6.86
0.947916667,0.267,6.86
0.958333333,0.268,6.92
0.96875,0.267,6.86
0.979166667,0.266,6.8
0.989583333,0.268,6.92
1,0.268,6.92
1.010416667,0.267,6.86
1.020833333,0.267,6.86
1.03125,0.266,6.8
1.041666667,0.266,6.8
1.052083333,0.265,6.74
1.0625,0.264,6.68
1.072916667,0.264,6.68
1.083333333,0.263,6.62
1.09375,0.259,6.38
1.104166667,0.262,6.56
1.114583333,0.261,6.5
1.125,0.261,6.5
1.135416667,0.26,6.44
1.145833333,0.259,6.38
1.15625,0.259,6.38
1.166666667,0.259,6.38
1.177083333,0.259,6.38
1.1875,0.258,6.32
1.197916667,0.258,6.32
1.208333333,0.26,6.44
1.21875,0.261,6.5
1.229166667,0.261,6.5
1.239583333,0.266,6.8
1.25,0.278,7.55
1.260416667,0.297,8.79
1.270833333,0.332,11.3
1.28125,0.361,13.5
1.291666667,0.374,14.5
1.302083333,0.377,14.8
1.3125,0.386,15.5
1.322916667,0.423,18.7
1.333333333,0.436,19.9
1.34375,0.436,19.9
1.354166667,0.428,19.1
1.364583333,0.416,18.1
1.375,0.403,16.9
1.385416667,0.391,15.9
1.395833333,0.381,15.1
1.40625,0.372,14.3
1.416666667,0.364,13.7
1.427083333,0.356,13.1
1.4375,0.352,12.8
1.447916667,0.348,12.5
1.458333333,0.345,12.2
1.46875,0.343,12.1
1.479166667,0.34,11.8
1.489583333,0.338,11.7
1.5,0.335,11.5
1.510416667,0.329,11
1.520833333,0.323,10.6
1.53125,0.32,10.4
1.541666667,0.316,10.1
1.552083333,0.317,10.2
1.5625,0.317,10.2
1.572916667,0.318,10.2
1.583333333,0.317,10.2
1.59375,0.315,10
1.604166667,0.311,9.75
1.614583333,0.313,9.89
1.625,0.317,10.2
1.635416667,0.32,10.4
1.645833333,0.322,10.5
1.65625,0.323,10.6
1.666666667,0.323,10.6
1.677083333,0.323,10.6
1.6875,0.321,10.5
1.697916667,0.32,10.4
1.708333333,0.319,10.3
1.71875,0.316,10.1
1.729166667,0.313,9.89
1.739583333,0.311,9.75
1.75,0.308,9.54
1.760416667,0.304,9.26
1.770833333,0.3,8.99
1.78125,0.298,8.85
1.791666667,0.297,8.79
1.802083333,0.295,8.65
1.8125,0.294,8.59
1.822916667,0.293,8.52
1.833333333,0.298,8.85
1.84375,0.301,9.06
1.854166667,0.303,9.19
1.864583333,0.304,9.26
1.875,0.304,9.26
1.885416667,0.304,9.26
1.895833333,0.303,9.19
1.90625,0.304,9.26
1.916666667,0.303,9.19
1.927083333,0.303,9.19
1.9375,0.302,9.12
1.947916667,0.301,9.06
1.958333333,0.301,9.06
1.96875,0.299,8.92
1.979166667,0.298,8.85
1.989583333,0.298,8.85
2,0.297,8.79
2.010416667,0.297,8.79
2.020833333,0.297,8.79
2.03125,0.297,8.79
2.041666667,0.297,8.79
2.052083333,0.298,8.85
2.0625,0.298,8.85
2.072916667,0.297,8.79
2.083333333,0.3,8.99
2.09375,0.299,8.92
2.104166667,0.299,8.92
2.114583333,0.298,8.85
2.125,0.298,8.85
2.135416667,0.298,8.85
2.145833333,0.298,8.85
2.15625,0.297,8.79
2.166666667,0.298,8.85
2.177083333,0.298,8.85
2.1875,0.298,8.85
