Time,Height
0,0.537
0.010416667,0.537
0.020833333,0.535
0.03125,0.535
0.041666667,0.534
0.052083333,0.534
0.0625,0.534
0.072916667,0.533
0.083333333,0.533
0.09375,0.531
0.104166667,0.531
0.114583333,0.531
0.125,0.53
0.135416667,0.53
0.145833333,0.529
0.15625,0.529
0.166666667,0.528
0.177083333,0.528
0.1875,0.527
0.197916667,0.525
0.208333333,0.525
0.21875,0.525
0.229166667,0.525
0.239583333,0.525
0.25,0.524
0.260416667,0.523
0.270833333,0.521
0.28125,0.521
0.291666667,0.521
0.302083333,0.52
0.3125,0.52
0.322916667,0.519
0.333333333,0.518
0.34375,0.518
0.354166667,0.517
0.364583333,0.516
0.375,0.515
0.385416667,0.515
0.395833333,0.513
0.40625,0.511
0.416666667,0.511
0.427083333,0.511
0.4375,0.513
0.447916667,0.511
0.458333333,0.51
0.46875,0.51
0.479166667,0.51
0.489583333,0.509
0.5,0.51
0.510416667,0.509
0.520833333,0.509
0.53125,0.508
0.541666667,0.507
0.552083333,0.507
0.5625,0.505
0.572916667,0.505
0.583333333,0.505
0.59375,0.504
0.604166667,0.501
0.614583333,0.501
0.625,0.501
0.635416667,0.501
0.645833333,0.501
0.65625,0.501
0.666666667,0.501
0.677083333,0.501
0.6875,0.501
0.697916667,0.501
0.708333333,0.501
0.71875,0.501
0.729166667,0.501
0.739583333,0.501
0.75,0.501
0.760416667,0.5
0.770833333,0.5
0.78125,0.5
0.791666667,0.5
0.802083333,0.5
0.8125,0.5
0.822916667,0.5
0.833333333,0.5
0.84375,0.5
0.854166667,0.499
0.864583333,0.499
0.875,0.499
0.885416667,0.499
0.895833333,0.498
0.90625,0.499
0.916666667,0.499
0.927083333,0.498
0.9375,0.498
0.947916667,0.499
0.958333333,0.498
0.96875,0.499
0.979166667,0.498
0.989583333,0.498
1,0.498
1.010416667,0.498
1.020833333,0.498
1.03125,0.498
1.041666667,0.498
1.052083333,0.497
1.0625,0.497
1.072916667,0.497
1.083333333,0.496
1.09375,0.496
1.104166667,0.495
1.114583333,0.495
1.125,0.495
1.135416667,0.493
1.145833333,0.494
1.15625,0.494
1.166666667,0.495
1.177083333,0.499
1.1875,0.503
1.197916667,0.51
1.208333333,0.514
1.21875,0.523
1.229166667,0.534
1.239583333,0.553
1.25,0.574
1.260416667,0.598
1.270833333,0.62
1.28125,0.646
1.291666667,0.682
1.302083333,0.732
1.3125,0.763
1.322916667,0.785
1.333333333,0.809
1.34375,0.831
1.354166667,0.856
1.364583333,0.878
1.375,0.906
1.385416667,0.937
1.395833333,0.988
1.40625,1.046
1.416666667,1.111
1.427083333,1.16
1.4375,1.258
1.447916667,1.376
1.458333333,1.49
1.46875,1.591
1.479166667,1.703
1.489583333,1.808
1.5,1.916
1.510416667,2.03
1.520833333,2.123
1.53125,2.233
1.541666667,2.316
1.552083333,2.397
1.5625,2.478
1.572916667,2.56
1.583333333,2.629
1.59375,2.697
1.604166667,2.762
1.614583333,2.833
1.625,2.9
1.635416667,2.966
1.645833333,3.033
1.65625,3.097
1.666666667,3.189
1.677083333,3.255
1.6875,3.301
1.697916667,3.379
1.708333333,3.452
1.71875,3.502
1.729166667,3.572
1.739583333,3.625
1.75,3.693
1.760416667,3.763
1.770833333,3.827
1.78125,3.875
1.791666667,3.93
1.802083333,3.954
1.8125,4.041
1.822916667,4.105
1.833333333,4.17
1.84375,4.217
1.854166667,4.284
1.864583333,4.349
1.875,4.394
1.885416667,4.414
1.895833333,4.464
1.90625,4.468
1.916666667,4.495
1.927083333,4.493
1.9375,4.489
1.947916667,4.497
1.958333333,4.494
1.96875,4.48
1.979166667,4.481
1.989583333,4.472
2,4.459
2.010416667,4.429
2.020833333,4.414
2.03125,4.359
2.041666667,4.342
2.052083333,4.282
2.0625,4.252
2.072916667,4.205
2.083333333,4.137
2.09375,4.061
2.104166667,3.997
2.114583333,3.921
2.125,3.847
2.135416667,3.782
2.145833333,3.699
2.15625,3.623
2.166666667,3.543
2.177083333,3.453
2.1875,3.366
2.197916667,3.291
2.208333333,3.205
2.21875,3.123
2.229166667,3.033
2.239583333,2.956
2.25,2.872
2.260416667,2.797
2.270833333,2.73
2.28125,2.666
2.291666667,2.603
2.302083333,2.547
2.3125,2.482
2.322916667,2.43
2.333333333,2.366
2.34375,2.312
2.354166667,2.258
2.364583333,2.205
2.375,2.156
2.385416667,2.11
2.395833333,2.062
2.40625,2.016
2.416666667,1.97
2.427083333,1.931
2.4375,1.889
2.447916667,1.861
2.458333333,1.816
2.46875,1.781
2.479166667,1.745
2.489583333,1.717
2.5,1.672
2.510416667,1.641
2.520833333,1.615
2.53125,1.578
2.541666667,1.545
2.552083333,1.522
2.5625,1.495
2.572916667,1.466
2.583333333,1.448
2.59375,1.423
2.604166667,1.418
2.614583333,1.401
2.625,1.385
2.635416667,1.368
2.645833333,1.354
2.65625,1.336
2.666666667,1.323
2.677083333,1.313
2.6875,1.291
2.697916667,1.279
2.708333333,1.261
2.71875,1.249
2.729166667,1.231
2.739583333,1.221
2.75,1.214
2.760416667,1.2
2.770833333,1.185
2.78125,1.182
2.791666667,1.171
2.802083333,1.166
2.8125,1.148
2.822916667,1.147
2.833333333,1.135
2.84375,1.136
2.854166667,1.124
2.864583333,1.117
2.875,1.108
2.885416667,1.103
2.895833333,1.101
2.90625,1.09
2.916666667,1.083
2.927083333,1.075
2.9375,1.071
2.947916667,1.061
2.958333333,1.058
2.96875,1.053
2.979166667,1.046
2.989583333,1.04
3,1.032
3.010416667,1.031
3.020833333,1.023
3.03125,1.011
3.041666667,1.011
3.052083333,1.005
3.0625,0.997
3.072916667,0.996
3.083333333,0.988
3.09375,0.981
3.104166667,0.979
3.114583333,0.971
3.125,0.968
3.135416667,0.96
3.145833333,0.959
3.15625,0.957
3.166666667,0.951
3.177083333,0.947
3.1875,0.944
3.197916667,0.934
3.208333333,0.931
3.21875,0.927
3.229166667,0.927
3.239583333,0.921
3.25,0.921
3.260416667,0.917
3.270833333,0.912
3.28125,0.902
3.291666667,0.899
3.302083333,0.895
3.3125,0.891
3.322916667,0.891
3.333333333,0.885
3.34375,0.885
3.354166667,0.88
3.364583333,0.878
3.375,0.874
3.385416667,0.87
3.395833333,0.867
3.40625,0.861
3.416666667,0.862
3.427083333,0.86
3.4375,0.853
3.447916667,0.852
3.458333333,0.85
3.46875,0.846
3.479166667,0.841
3.489583333,0.838
3.5,0.834
3.510416667,0.831
3.520833333,0.831
3.53125,0.827
3.541666667,0.821
3.552083333,0.82
3.5625,0.818
3.572916667,0.816
3.583333333,0.813
3.59375,0.807
